亜（亞）	ア	亜流，亜麻，亜熱帯	　
何	カ　なに　　なん	幾何学何，何者，何事何本，何十，何点	　
花	カ　はな	花弁，花壇，落花花，花火，草花	⇔華
佳	カ	佳作，佳人，絶佳	　
価（價）	カ　あたい	価値，価格，評価価	⇔値
果	カ　はたす　はてる　はて	果実，果断，結果果たす，果たして〔副〕果てる果て	果物（くだもの）
河	カ　　かわ	河川，河口，運河河	河岸（かし）河原（かわら）⇔川
苛	カ	苛酷，苛烈	　
科	カ	科学，教科，罪科	　
架	カ　かける　かかる	架橋，架空，書架架ける架かる	⇔掛ける，懸ける，賭ける⇔掛かる，懸かる
夏	カ　　ゲ　なつ	夏季，初夏，盛夏夏至夏，夏服，真夏	　
家	カ　ケ　いえ　や 	家屋，家庭，作家家来，本家，分家家，家柄，家元家主，借家 	母家（おもや）⇔屋
荷	カ　に	出荷，入荷荷，荷物，初荷	　
華	カ　　ケ　はな	華美，繁華，栄華香華，散華華やかだ，華やぐ，華々しい	⇔花
菓	カ	菓子，製菓，茶菓	　
貨	カ	貨物，貨幣，通貨	　
渦	カ　うず	渦中渦，渦潮，渦巻く	　
過	カ　すぎる　すごす　あやまつ　あやまち	過度，過失，通過過ぎる，昼過ぎ過ごす過つ過ち	　
嫁	カ　よめ　とつぐ	再嫁，転嫁，嫁する嫁，花嫁嫁ぐ，嫁ぎ先	　
暇	カ　ひま	余暇，休暇，寸暇暇，暇な時	　
禍（禍）	カ	禍福，禍根，災禍	　
靴	カ　くつ	製靴靴，靴下，革靴	　
寡	カ	寡黙，寡婦，多寡	　
歌	カ　うた　うたう	歌曲，唱歌，短歌歌歌う	⇔唄⇔謡う
箇	カ	箇条，箇所	　
稼	カ　かせぐ	稼業，稼働稼ぐ，稼ぎ	　
課	カ	課，日課，課する	　
蚊	か	蚊，蚊柱，やぶ蚊	蚊帳（かや）
牙	ガ　　ゲ　きば	牙城，歯牙象牙牙	　
瓦	ガ　かわら	瓦解瓦，瓦屋根	　
我	ガ　われ　わ	我流，彼我，自我我，我々，我ら我が国	　
画（畫）	ガ　カク	画家，図画，映画画期的，計画，区画	　
芽	ガ　め	発芽，麦芽，肉芽芽，芽生える，新芽	　
賀	ガ	賀状，祝賀，賀する	　
雅	ガ	雅趣，優雅，風雅	　
餓	ガ	餓死，餓鬼，飢餓	　
介	カイ	介入，紹介，介する	　
回	カイ　　エ　まわる　まわす	回答，転回，次回回向回る，回り，回り道回す，手回し	⇔周り
灰	カイ　はい	灰白色，石灰灰，灰色，火山灰	　
会（會）	カイ　エ　あう	会話，会計，社会会釈，会得，法会会う	⇔合う，遭う
快	カイ　こころよい	快活，快晴，明快快い	　
戒	カイ　いましめる	戒心，戒律，警戒戒める，戒め	　
改	カイ　あらためる　あらたまる	改造，改革，更改改める，改めて〔副〕改まる	　
怪	カイ　あやしい　あやしむ	怪談，怪物，奇怪怪しい，怪しげだ怪しむ	⇔妖しい
拐	カイ	拐帯，誘拐	　
悔（悔）	カイ　くいる　くやむ　くやしい	悔恨，後悔悔いる，悔い悔やむ，お悔やみ悔しい，悔しがる	　
海（海）	カイ　うみ	海岸，海水浴，航海海，海鳴り	海女・海士（あま）海原（うなばら）
界	カイ	境界，限界，世界	　
皆	カイ　みな	皆無，皆勤，皆出席皆，皆さん	　
械	カイ	機械	　
絵（繪）	カイ　エ	絵画絵本，絵図，口絵	　
開	カイ　ひらく　ひらける　あく　あける	開始，開拓，展開開く，川開き開ける開く開ける，開けたて	⇔空く，明く⇔空ける，明ける
階	カイ	階段，階級，地階	　
塊	カイ　かたまり	塊状，山塊塊	　
楷	カイ	楷書	　
解	カイ　ゲ　とく　とかす　とける	解決，解禁，理解解脱，解熱剤，解毒剤解く解かす解ける	⇔溶く⇔溶かす⇔溶ける
潰	カイ　つぶす　つぶれる	潰瘍潰す潰れる	　
壊（壞）	カイ　こわす　こわれる	壊滅，破壊，決壊壊す壊れる	　
懐（懷）	カイ　ふところ　なつかしい　なつかしむ　なつく　なつける	懐中，懐古，述懐懐，懐手，内懐懐かしい懐かしむ懐く懐ける	　
諧	カイ	俳諧	　
貝	かい	貝，貝細工，ほら貝	　
外	ガイ　ゲ　そと　ほか　はずす　はずれる	外出，海外，除外外科，外題，外道外，外囲い外，その外外す，踏み外す外れる，町外れ	⇔他
劾	ガイ	弾劾	　
害	ガイ	害悪，被害，損害	　
崖	ガイ　がけ	断崖崖下	　
涯	ガイ	生涯	　
街	ガイ　　カイ　まち	街頭，市街，商店街街道街，街角	⇔町
慨（慨）	ガイ	慨嘆，憤慨，感慨	　
蓋	ガイ　ふた	頭蓋骨蓋，火蓋	　
該	ガイ	該当，該博，当該	　
概（槪）	ガイ	概念，大概，概して	　
骸	ガイ	形骸化，死骸	　
垣	かき	垣，垣根	　
柿	かき	柿	　
各	カク　おのおの	各自，各種，各位各	「各々」とも書く。
角	カク　かど　つの	角度，三角，頭角角，街角，四つ角角，角笛	　
拡（擴）	カク	拡大，拡張，拡声器	　
革	カク　かわ	革新，改革，皮革革，革靴	⇔皮
格	カク　　コウ	格式，規格，性格格子	　
核	カク	核心，核反応，結核	　
殻（殼）	カク　から	甲殻，地殻殻，貝殻	　
郭	カク	城郭，外郭，輪郭	　
覚（覺）	カク　おぼえる　さます　さめる	覚悟，知覚，発覚覚える，覚え覚ます，目覚まし覚める，目覚め	　
較	カク	比較	　
隔	カク　へだてる　へだたる	隔離，隔月，間隔隔てる，隔て隔たる，隔たり	　
閣	カク	閣議，閣僚，内閣	　
確	カク　たしか　たしかめる	確定，確認，正確確かだ，確かさ確かめる	　
獲	カク　える	獲得，捕獲，漁獲高獲る，獲物	⇔得る
嚇	カク	威嚇	　
穫	カク	収穫	　
学（學）	ガク　まなぶ	学習，科学，大学学ぶ	　
岳（嶽）	ガク　たけ	岳父，山岳○○岳	　
楽（樂）	ガク　ラク　たのしい　たのしむ	楽隊，楽器，音楽楽園，快楽，娯楽楽しい，楽しさ，楽しげだ楽しむ	神楽（かぐら）
額	ガク　ひたい	額縁，金額，前額部額	　
顎	ガク　あご	顎関節顎	　
掛	かける　かかる　かかり	掛ける掛かる掛	⇔懸ける，架ける，賭ける⇔係る，懸かる，架かる⇔係
潟	かた	干潟，○○潟	　
括	カツ	括弧，一括，包括	　
活	カツ	活動，活力，生活	　
喝（喝）	カツ	喝破，一喝，恐喝	　
渇（渴）	カツ　かわく	渇望，渇水渇く，渇き	⇔乾く
割	カツ　わる　わり　われる　さく	割愛，割拠，分割割る割がいい，割合，割に，五割割れる，ひび割れ割く	⇔裂く
葛	カツ　くず	葛藤葛，葛湯	＊［（付）第２の３参照］
滑	カツ　コツ　すべる　なめらか	滑走，滑降，円滑滑稽滑る，滑り滑らかだ	　
褐（褐）	カツ	褐色，茶褐色	　
轄	カツ	管轄，所轄，直轄	　
且	かつ	且つ	　
株	かぶ	株，株式	　
釜	かま	釜	　
鎌	かま	鎌，鎌倉時代	　
刈	かる	刈る，刈り入れ	　
干	カン　ほす　ひる	干渉，干潮，若干干す，干し物干上がる，干物，潮干狩り	　
刊	カン	刊行，発刊，週刊	　
甘	カン　あまい　あまえる　あまやかす	甘言，甘受，甘味料甘い，甘み甘える甘やかす	　
汗	カン　あせ	汗顔，発汗汗，汗ばむ	　
缶（罐）	カン	缶，缶詰，製缶	　
完	カン	完全，完成，未完	　
肝	カン　きも	肝臓，肝胆，肝要肝，肝っ玉	　
官	カン	官庁，官能，教官	　
冠	カン　かんむり	冠詞，王冠，栄冠冠	　
巻（卷）	カン　まく　まき	巻頭，圧巻，一巻巻く，巻き貝巻の一	　
看	カン	看護，看破，看板	　
陥（陷）	カン　おちいる　おとしいれる	陥落，陥没，欠陥陥る陥れる	　
乾	カン　かわく　かわかす	乾燥，乾杯，乾電池乾く乾かす	⇔渇く
勘	カン	勘弁，勘当	　
患	カン　わずらう	患者，疾患患う，長患い	⇔煩う
貫	カン　つらぬく	貫通，縦貫，尺貫法貫く	　
寒	カン　さむい	寒暑，寒村，厳寒寒い，寒がる，寒空	　
喚	カン	喚問，召喚，叫喚	　
堪	カン　たえる	堪忍，堪能堪える	「堪能」は，「タンノウ」とも。⇔耐える
換	カン　かえる　かわる	換気，換算，交換換える換わる	⇔代える，替える，変える⇔代わる，替わる，変わる
敢	カン	敢然，果敢，勇敢	　
棺	カン	棺おけ，石棺，出棺	　
款	カン	定款，借款，落款	　
間	カン　ケン　あいだ　ま	間隔，中間，時間世間，人間間，間柄間，間違う，客間	　
閑	カン	閑静，閑却，繁閑	　
勧（勸）	カン　すすめる	勧誘，勧奨，勧告勧める，勧め	⇔進める，薦める
寛（寬）	カン	寛大，寛容，寛厳	　
幹	カン　みき	幹線，幹事，根幹幹	　
感	カン	感心，感覚，直感	　
漢（漢）	カン	漢字，漢語，門外漢	　
慣	カン　なれる　ならす	慣例，慣性，習慣慣れる，慣れ慣らす	　
管	カン　くだ	管理，管制，鉄管管	　
関（關）	カン　せき　かかわる	関節，関係，関する関，関取，関の山関わる，関わり	　
歓（歡）	カン	歓迎，歓声，交歓	　
監	カン	監視，監督，総監	　
緩	カン　ゆるい　ゆるやか　ゆるむ　ゆるめる	緩和，緩慢，緩急緩い緩やかだ緩む，緩み緩める	　
憾	カン	遺憾	　
還	カン	還元，生還，返還	　
館	カン　やかた	館内，旅館，図書館館	　
環	カン	環状，環境，循環	　
簡	カン	簡単，簡易，書簡	　
観（觀）	カン	観察，客観，壮観	　
韓	カン	韓国	　
艦	カン	艦船，艦隊，軍艦	　
鑑	カン　かんがみる	鑑賞，鑑定，年鑑鑑みる	　
丸	ガン　まる　まるい　まるめる	丸薬，弾丸，砲丸丸，丸太，丸洗い丸い，丸み，丸さ丸める	⇔円い
含	ガン　ふくむ　ふくめる	含有，含蓄，包含含む，含み含める	　
岸	ガン　きし	岸壁，対岸，彼岸岸，向こう岸	河岸（かし）
岩	ガン　いわ	岩石，岩塩，火成岩岩，岩場	　
玩	ガン	玩具，愛玩	　
眼	ガン　　ゲン　まなこ	眼球，眼力，主眼開眼眼，どんぐり眼，血眼	眼鏡（めがね）
頑	ガン	頑強，頑健，頑固	　
顔	ガン　かお	顔面，童顔，厚顔顔，横顔，したり顔	笑顔（えがお）
願	ガン　ねがう	願望，祈願，志願願う，願い，願わしい	　
企	キ　くわだてる	企画，企図，企業企てる，企て	　
伎	キ	歌舞伎	　
危	キ　あぶない　あやうい　あやぶむ	危険，危害，安危危ない，危ながる危うい，危うく危ぶむ	　
机	キ　つくえ	机上，机辺机	　
気（氣）	キ　ケ	気体，気候，元気気配，気色ばむ，火の気	意気地（いくじ）浮気（うわき）
岐	キ	岐路，分岐，多岐	岐阜（ぎふ）県
希	キ	希望，希少，希薄	　
忌	キ　いむ　いまわしい	忌避，忌中，禁忌忌む忌まわしい	　
汽	キ	汽車，汽船，汽笛	　
奇	キ	奇襲，奇数，珍奇	数奇屋（すきや）
祈（祈）	キ　いのる	祈願，祈念祈る，祈り	　
季	キ	季節，四季，雨季	　
紀	キ	紀行，紀元，風紀	　
軌	キ	軌道，広軌，常軌	　
既（既）	キ　すでに	既成，既婚，既往症既に	　
記	キ　しるす	記入，記号，伝記記す	　
起	キ　おきる　おこる　おこす	起立，起源，奮起起きる，早起き起こる起こす	⇔興る⇔興す
飢	キ　うえる	飢餓飢える，飢え	　
鬼	キ　おに	鬼神，鬼才，餓鬼鬼，鬼ごっこ，赤鬼	　
帰（歸）	キ　かえる　かえす	帰還，帰納，復帰帰る，帰り帰す	⇔返る⇔返す
基	キ　もと　もとい	基礎，基準，基地基，基づく基	⇔下，元，本
寄	キ　よる　よせる	寄宿，寄贈，寄港寄る，近寄る，身寄り寄せる，人寄せ	数寄屋（すきや）最寄り（もより）寄席（よせ）
規	キ	規則，規律，定規	　
亀（龜）	キ　かめ	亀裂亀	　
喜	キ　よろこぶ	喜劇，悲喜，歓喜喜ぶ，喜び，喜ばしい	　
幾	キ　いく	幾何学幾つ，幾ら，幾日	　
揮	キ	揮発油，指揮，発揮	　
期	キ　　ゴ	期間，期待，予期最期，この期に及んで	　
棋	キ	棋士，棋譜，将棋	　
貴	キ　たっとい　とうとい　たっとぶ　とうとぶ	貴重，貴下，騰貴貴い貴い貴ぶ貴ぶ	⇔尊い⇔尊い⇔尊ぶ⇔尊ぶ
棄	キ	棄権，放棄，遺棄	　
毀	キ	毀損，毀誉	　
旗	キ　はた	旗手，旗艦，国旗旗，旗色，手旗	　
器（器）	キ　うつわ	器量，器用，陶器器	　
畿	キ	畿内，近畿	　
輝	キ　かがやく	輝石，光輝輝く，輝き，輝かしい	　
機	キ　はた	機械，機会，危機機，機織り	　
騎	キ	騎士，騎馬，一騎当千	　
技	ギ　わざ	技術，技師，特技技	⇔業
宜	ギ	適宜，便宜	　
偽（僞）	ギ　いつわる　にせ	偽名，真偽，虚偽偽る，偽り偽，偽物，偽札	　
欺	ギ　あざむく	詐欺欺く	　
義	ギ	義理，意義，正義	　
疑	ギ　うたがう	疑念，疑問，容疑疑う，疑い，疑わしい	　
儀	ギ	儀式，威儀，地球儀	　
戯（戲）	ギ　たわむれる	戯曲，遊戯，児戯戯れる，戯れ	　
擬	ギ	擬音，擬人法，模擬	　
犠（犧）	ギ	犠牲，犠打	　
議	ギ	議論，会議，異議	　
菊	キク	菊，菊花，白菊	　
吉	キチ　キツ	吉日，吉例，大吉吉報，不吉	「吉日」は，「キツジツ」とも。  
喫	キツ	喫煙，満喫，喫する	　
詰	キツ　つめる　つまる　つむ	詰問，難詰，面詰詰める，詰め物詰まる，行き詰まる詰む，詰み	　
却	キャク	却下，退却，売却	　
客	キャク　カク	客間，客車，乗客客死，主客，旅客	　
脚	キャク　　キャ　あし	脚部，脚本，三脚脚立，行脚脚，机の脚	⇔足
逆	ギャク　さか　さからう	逆上，逆転，順逆逆立つ，逆さ，逆さま逆らう	　
虐	ギャク　しいたげる	虐待，虐殺，残虐虐げる	　
九	キュウ　ク　ここの　ここのつ	九百，三拝九拝九分九厘，九月九日，九重九つ	　
久	キュウ　　ク　ひさしい	永久，持久，耐久久遠久しい，久々	　
及	キュウ　およぶ　および　およぼす	及第，追及，普及及ぶ，及び腰及び〔接〕及ぼす	　
弓	キュウ　ゆみ	弓道，弓状，洋弓弓，弓矢	　
丘	キュウ　おか	丘陵，砂丘丘	　
旧（舊）	キュウ	旧道，新旧，復旧	　
休	キュウ　やすむ　やすまる　やすめる	休止，休憩，定休休む，休み休まる休める，気休め	　
吸	キュウ　すう	吸収，吸入，呼吸吸う	　
朽	キュウ　くちる	不朽，老朽，腐朽朽ちる	　
臼	キュウ　うす	臼歯，脱臼石臼	　
求	キュウ　もとめる	求職，要求，追求求める，求め	　
究	キュウ　きわめる	究明，研究，学究究める	⇔窮める，極める
