亜（亞）	ア	亜流，亜麻，亜熱帯	　
車	シャ　くるま	車輪，車庫，電車車，歯車	山車（だし）
舎	シャ	舎監，校舎，寄宿舎	田舎（いなか）
者（者）	シャ　もの	医者，前者，第三者者，若者	猛者（もさ）
射	シャ　いる	射撃，発射，日射病射る	　
捨	シャ　すてる	捨象，取捨，喜捨捨てる，捨て子	　
赦	シャ	赦免，大赦，恩赦	　
斜	シャ　ななめ	斜面，斜線，傾斜斜め	　
煮（煮）	シャ　にる　にえる　にやす	煮沸煮る，雑煮煮える，生煮え業を煮やす	　
遮	シャ　さえぎる	遮断遮る	　
謝	シャ　あやまる	謝絶，感謝，陳謝謝る，平謝り	　
邪	ジャ	邪悪，邪推，正邪	風邪（かぜ）
蛇	ジャ　ダ　へび	蛇の目，蛇腹，大蛇蛇行，蛇足，長蛇蛇	　
尺	シャク	尺度，尺貫法	　
借	シャク　かりる	借用，借金，貸借借りる，借り	　
酌	シャク　くむ	酌量，晩酌酌む，酌み交わす	　
釈（釋）	シャク	釈明，釈放，解釈	　
爵	シャク	爵位	　
若	ジャク　　ニャク　わかい　もしくは	若年，若干，自若老若若い，若者，若々しい若しくは	「老若」は，「ロウジャク」とも。若人（わこうど）
弱	ジャク　よわい　よわる　よわまる　よわめる	弱点，弱小，強弱弱い，弱虫，足弱弱る弱まる弱める	　
寂	ジャク　　セキ　さび　さびしい　さびれる	寂滅，静寂，閑寂寂然，寂として寂寂しい，寂しがる寂れる	「寂然」は，「ジャクネン」とも。  
手	シュ　て　　た	手腕，挙手，選手手，手柄，素手手綱，手繰る	上手（じょうず）下手（へた）手伝（てつだ）う
主	シュ　　ス　ぬし　おも	主人，主権，施主法主，坊主主，地主主な人々	「法主（ホッス）」は，「ホウシュ」，「ホッシュ」とも。
守	シュ　　ス　まもる　もり	守備，保守，攻守留守守る，守りお守り，子守，灯台守	　
朱	シュ	朱肉，朱筆，朱塗り	　
取	シュ　とる	取捨，取材，聴取取る	⇔採る，執る，捕る
狩	シュ　かる　かり	狩猟狩る，狩り込み狩り，ぶどう狩り	　
首	シュ　くび	首尾，首席，自首首，首飾り	　
殊	シュ　こと	殊勝，殊勲，特殊殊に，殊の外，殊更	　
珠	シュ	珠玉，珠算，真珠	数珠（じゅず）
酒	シュ　さけ　　さか	酒宴，飲酒，洋酒酒，酒好き，甘酒酒屋，酒場，酒盛り	お神酒（みき）
腫	シュ　はれる　はらす	腫瘍腫れる，腫れ腫らす	　
種	シュ　たね	種類，人種，品種種，菜種，一粒種	　
趣	シュ　おもむき	趣向，趣味，興趣趣	　
寿（壽）	ジュ　ことぶき	寿命，長寿，米寿寿	　
受	ジュ　うける　うかる	受諾，受験，甘受受ける，受付受かる	⇔請ける
呪	ジュ　のろう	呪縛，呪文呪う	　
授	ジュ　さずける　さずかる	授与，伝授，教授授ける授かる	　
需	ジュ	需要，需給，必需品	　
儒	ジュ	儒学，儒教，儒者	　
樹	ジュ	樹木，樹立，街路樹	　
収（收）	シュウ　おさめる　おさまる	収穫，収入，回収収める収まる	⇔納める⇔納まる
囚	シュウ	囚人，死刑囚	　
州	シュウ　す	州議会，六大州州，中州，三角州	　
舟	シュウ　ふね　　ふな	舟運，舟艇，舟航舟，小舟，渡し舟舟遊び，舟宿，舟歌	⇔船
秀	シュウ　ひいでる	秀逸，秀才，優秀秀でる	　
周	シュウ　まわり	周知，周囲，円周周り	⇔回り
宗	シュウ　ソウ	宗教，宗派，改宗宗家，宗匠	　
拾	シュウ　ジュウ　ひろう	拾得，収拾拾万円拾う，拾い物	　
秋	シュウ　あき	秋季，秋分，晩秋秋	　
臭（臭）	シュウ　くさい　におう	臭気，悪臭，俗臭臭い，臭み，臭さ臭う，臭い	⇔匂う
修	シュウ　　シュ　おさめる　おさまる	修飾，修養，改修修行修める修まる	⇔治める⇔治まる
袖	シュウ　そで	領袖袖，半袖	　
終	シュウ　おわる　おえる	終了，終日，最終終わる，終わり終える	　
羞	シュウ	羞恥心	　
習	シュウ　ならう	習得，習慣，練習習う，手習い	⇔倣う
週	シュウ	週刊，週末，毎週	　
就	シュウ　　ジュ　つく　つける	就任，就寝，去就成就就く就ける	⇔着く，付く⇔着ける，付ける
衆	シュウ　　シュ	衆寡，民衆，聴衆衆生	　
集	シュウ　あつまる　あつめる　つどう	集合，集結，全集集まる，集まり集める，人集め集う，集い	　
愁	シュウ　うれえる　うれい	愁傷，哀愁，憂愁愁える愁い	⇔憂える⇔憂い
酬	シュウ	報酬，応酬	　
醜	シュウ　みにくい	醜悪，醜態，美醜醜い，醜さ	　
蹴	シュウ　ける	一蹴蹴る，蹴散らす	　
襲	シュウ　おそう	襲撃，襲名，世襲襲う	　
十	ジュウ　ジッ　とお　と	十字架，十文字十回十，十日十色，十重	十重二十重（とえはたえ）二十・二十歳（はたち）二十日（はつか）「ジュッ」とも。  
汁	ジュウ　しる	果汁，墨汁汁，汁粉	　
充	ジュウ　あてる	充実，充電，補充充てる	⇔当てる，宛てる
住	ジュウ　すむ　すまう	住所，安住，衣食住住む住まう，住まい	　
柔	ジュウ　ニュウ　やわらか　やわらかい	柔軟，柔道，懐柔柔和，柔弱柔らかだ柔らかい	⇔軟らか⇔軟らかい
重	ジュウ　チョウ　え　おもい　かさねる　かさなる	重量，重大，二重重畳，慎重，貴重一重，八重桜重い，重たい重ねる，重ね着重なる	十重二十重（とえはたえ） 
従（從）	ジュウ　　ショウ　　ジュ　したがう　したがえる	従事，従順，服従従容従○位従う従える	　
渋（澁）	ジュウ　しぶ　しぶい　しぶる	渋滞，苦渋渋，渋紙渋い，渋さ，渋み渋る	　
銃	ジュウ	銃砲，銃弾，小銃	　
獣（獸）	ジュウ　けもの	獣類，猛獣，鳥獣獣	　
縦（縱）	ジュウ　たて	縦横，縦断，操縦縦	　
叔	シュク	伯叔	叔父（おじ）叔母（おば）
祝（祝）	シュク　　シュウ　いわう	祝賀，祝日，慶祝祝儀，祝言祝う	祝詞（のりと）
宿	シュク　やど　やどる　やどす	宿泊，宿題，合宿宿，宿屋宿る，雨宿り宿す	　
淑	シュク	淑女，貞淑，私淑	　
粛（肅）	シュク	粛清，静粛，自粛	　
縮	シュク　ちぢむ　ちぢまる　ちぢめる　ちぢれる　ちぢらす	縮小，縮図，短縮縮む，伸び縮み縮まる縮める縮れる，縮れ毛縮らす	　
塾	ジュク	塾，私塾	　
熟	ジュク　うれる	熟練，熟慮，成熟熟れる	　
出	シュツ　　スイ　でる　だす	出入，出現，提出出納出る，出窓，遠出出す	　
述	ジュツ　のべる	叙述，陳述，著述述べる	　
術	ジュツ	術策，技術，芸術	　
俊	シュン	俊敏，俊秀，俊才	　
春	シュン　はる	春季，立春，青春春，春めく	　
瞬	シュン　またたく	瞬間，瞬時，一瞬瞬く，瞬き	　
旬	ジュン　　シュン	旬刊，上旬旬，旬の野菜	　
巡	ジュン　めぐる	巡回，巡業，一巡巡る，巡り歩く	お巡（まわ）りさん
盾	ジュン　たて	矛盾盾，後ろ盾	　
准	ジュン	准将，批准	　
殉	ジュン	殉死，殉職，殉難	　
純	ジュン	純真，純粋，不純	　
循	ジュン	循環，因循	　
順	ジュン	順序，順調，従順	　
準	ジュン	準備，基準，標準	　
潤	ジュン　うるおう　うるおす　うるむ	潤色，潤沢，湿潤潤う，潤い潤す潤む	　
遵	ジュン	遵守，遵法	　
処（處）	ショ	処置，処罰，処女	　
初	ショ　はじめ　はじめて　はつ　うい　そめる	初期，初心者，最初初め初めて〔副〕初の受賞，初雪，初耳初陣，初々しい書き初め，出初め式	⇔始め 
所	ショ　ところ	所得，住所，近所所，台所	　
書	ショ　かく	書画，書籍，読書書く	⇔描く
庶	ショ	庶民，庶務	　
暑（暑）	ショ　あつい	暑気，残暑，避暑暑い，暑さ	⇔熱い
署（署）	ショ	署名，署長，警察署	　
緒（緖）	ショ　　チョ　お	緒戦，由緒，端緒情緒緒，鼻緒	「情緒」は，「ジョウショ」とも。
諸（諸）	ショ	諸君，諸国，諸般	　
女	ジョ　ニョ　　ニョウ　おんな　め	女子，女流，少女女人，天女，善男善女女房女，女心，女らしい女神，女々しい	海女（あま）乙女（おとめ）
如	ジョ　ニョ	欠如，突如，躍如如実，如来，不如意	　
助	ジョ　たすける　たすかる　すけ	助力，助監督，救助助ける，助け助かる，大助かり助太刀	　
序	ジョ	序幕，順序，秩序	　
叙（敍）	ジョ	叙述，叙景，叙勲	　
徐	ジョ	徐行，徐々に	　
除	ジョ　　ジ　のぞく	除外，除数，解除掃除除く	　
小	ショウ　ちいさい　こ　お	小心，大小，縮小小さい，小さな小型，小鳥，小切手小川，小暗い	小豆（あずき）
升	ショウ　ます	升，升目	　
少	ショウ　すくない　すこし	少年，多少，減少少ない少し	　
召	ショウ　めす	召喚，国会の召集召す，召し上がる	　
匠	ショウ	師匠，巨匠，意匠	　
床	ショウ　とこ　ゆか	起床，病床，温床床，床の間，寝床床，床下	　
抄	ショウ	抄録，抄本，抄訳	　
肖	ショウ	肖像，不肖	　
尚	ショウ	尚早，高尚	　
招	ショウ　まねく	招待，招致，招請招く，招き	　
承	ショウ　うけたまわる	承知，承諾，継承承る	　
昇	ショウ　のぼる	昇降，昇進，上昇昇る	⇔上る，登る
松	ショウ　まつ	松竹梅，白砂青松松，松原，門松	　
沼	ショウ　ぬま	沼沢，湖沼沼，沼地	　
昭	ショウ	昭和	　
宵	ショウ　よい	徹宵宵	　
将（將）	ショウ	将来，将棋，大将	　
消	ショウ　きえる　けす	消滅，消極的，費消消える，立ち消え消す，消しゴム	　
症	ショウ	症状，炎症，重症	　
祥（祥）	ショウ	発祥，吉祥，不祥事	　
称（稱）	ショウ	称賛，名称，称する	　
笑	ショウ　わらう　えむ	笑覧，微笑，談笑笑う，大笑いほくそ笑む，笑み	笑顔（えがお）
唱	ショウ　となえる	唱歌，合唱，提唱唱える	　
商	ショウ　あきなう	商売，商業，貿易商商う，商い	　
渉（涉）	ショウ	渉外，干渉，交渉	　
章	ショウ	憲章，勲章，文章	　
紹	ショウ	紹介	　
訟	ショウ	訴訟	　
勝	ショウ　かつ　まさる	勝敗，優勝，名勝勝つ，勝ち，勝手勝る，男勝り	　
掌	ショウ	掌中，職掌，車掌	　
晶	ショウ	結晶，水晶	　
焼（燒）	ショウ　やく　やける	焼却，燃焼，全焼焼く，炭焼き焼ける，夕焼け	　
焦	ショウ　こげる　こがす　こがれる　あせる	焦土，焦慮，焦心焦げる，黒焦げ焦がす焦がれる焦る，焦り	　
硝	ショウ	硝石，硝酸	　
粧	ショウ	化粧	　
詔	ショウ　みことのり	詔勅，詔書詔	　
証（證）	ショウ	証拠，証明，免許証	　
象	ショウ　ゾウ	象徴，対象，現象象眼，巨象	　
傷	ショウ　きず　いたむ　いためる	傷害，負傷，感傷傷，古傷，傷つく傷む傷める	⇔痛む，悼む⇔痛める
奨（奬）	ショウ	奨励，奨学金，推奨	　
照	ショウ　てる　てらす　てれる	照明，照会，対照的照る，日照り照らす照れる	　
詳	ショウ　くわしい	詳細，詳報，未詳詳しい，詳しさ	　
彰	ショウ	表彰，顕彰	　
障	ショウ　さわる	障害，障子，故障障る，差し障り	　
憧	ショウ　あこがれる	憧憬憧れる，憧れ	「憧憬」は，「ドウケイ」とも。 
衝	ショウ	衝突，衝動，折衝	　
賞	ショウ	賞罰，賞与，懸賞	　
償	ショウ　つぐなう	償金，弁償，代償償う，償い	　
礁	ショウ	岩礁，暗礁，さんご礁	　
鐘	ショウ　かね	半鐘，警鐘鐘	　
上	ジョウ　　ショウ　うえ　　うわ　かみ　あげる　あがる　のぼる　のぼせる　のぼす	上旬，上昇，地上上人，身上を潰す上，身の上上着，上積み上，川上上げる，売り上げ上がる，上がり上る，上り上せる上す	上手（じょうず）「身上」は，「シンショウ」と「シンジョウ」とで，意味が違う。⇔揚げる，挙げる⇔揚がる，挙がる⇔昇る，登る 
丈	ジョウ　たけ	丈六，丈夫な体丈，背丈	　
冗	ジョウ	冗談，冗長，冗費	　
条（條）	ジョウ	条理，条約，箇条	　
状（狀）	ジョウ	状態，白状，免状	　
乗（乘）	ジョウ　のる　のせる	乗数，乗車，大乗的乗る，乗り物乗せる	⇔載る⇔載せる
城	ジョウ　しろ	城内，城下町，落城城，城跡	茨城（いばらき）県，宮城（みやぎ）県
浄（淨）	ジョウ	浄化，清浄，不浄	　
剰（剩）	ジョウ	剰余，過剰，余剰	　
常	ジョウ　つね　とこ	常備，日常，非常常，常に，常々常夏	　
情	ジョウ　　セイ　なさけ	情報，情熱，人情風情情け	　
場	ジョウ　ば	場内，会場，入場場，場所，広場	　
畳（疊）	ジョウ　たたむ　たたみ	畳語，重畳畳む，折り畳み畳，畳表，青畳	　
蒸	ジョウ　むす　むれる　むらす	蒸気，蒸発蒸す，蒸し暑い蒸れる蒸らす	　
縄（繩）	ジョウ　なわ	縄文，自縄自縛縄，縄張	　
壌（壤）	ジョウ	土壌	　
嬢（孃）	ジョウ	令嬢，愛嬢，お嬢さん	　
錠	ジョウ	錠前，錠剤，手錠	　
譲（讓）	ジョウ　ゆずる	譲渡，譲歩，謙譲譲る，親譲り	　
醸（釀）	ジョウ　かもす	醸造，醸成醸す，醸し出す	　
色	ショク　シキ　いろ	原色，特色，物色色彩，色調，色欲色，桜色，色づく	景色（けしき）
拭	ショク　ふく　ぬぐう	払拭拭く拭う	　
食	ショク　　ジキ　くう　くらう　たべる	食事，食料，会食断食食う，食い物食らう食べる，食べ物	　
植	ショク　うえる　うわる	植樹，植物，誤植植える，植木植わる	　
殖	ショク　ふえる　ふやす	生殖，利殖，学殖殖える殖やす	⇔増える⇔増やす
飾	ショク　かざる	装飾，修飾，服飾飾る，飾り	　
触（觸）	ショク　ふれる　さわる	触媒，触発，接触触れる触る	　
嘱（囑）	ショク	嘱託，委嘱	　
織	ショク　シキ　おる	織機，染織，紡織組織織る，織物	　
職	ショク	職業，職務，就職	　
辱	ジョク　はずかしめる	恥辱，雪辱，屈辱辱める，辱め	　
尻	しり	尻，尻込み，目尻	尻尾（しっぽ）
心	シン　こころ	心身，感心，中心心，心得る，親心	心地（ここち）
申	シン　もうす	申告，申請，内申書申す，申し上げる	　
伸	シン　のびる　のばす　のべる	伸縮，屈伸，追伸伸びる，背伸び伸ばす伸べる	⇔延びる⇔延ばす⇔延べる
臣	シン　ジン	臣下，君臣大臣	　
芯	シン	芯	　
身	シン　み	身体，単身，等身大身，身内，親身	　
辛	シン　からい	辛苦，辛酸，香辛料辛い，辛み，辛うじて	　
侵	シン　おかす	侵入，侵害，不可侵侵す	⇔犯す，冒す
信	シン	信用，信頼，通信	　
津	シン　つ	興味津々津波，津々浦々	　
神（神）	シン　ジン　かみ　　かん　　こう	神聖，神経，精神神社，神宮，神通力神，神様，貧乏神神主神々しい	お神酒（みき）神楽（かぐら）神奈川（かながわ）県
唇	シン　くちびる	口唇唇	　
娠	シン	妊娠	　
振	シン　ふる　ふるう　ふれる	振動，振興，不振振る，振り振るう振れる	⇔奮う，震う 
浸	シン　ひたす　ひたる	浸水，浸透浸す，水浸し浸る	　
真（眞）	シン　ま 	真偽，写真，純真真南，真新しい，真っ先，真ん中 	真面目（まじめ）真っ赤（まっか）真っ青（まっさお）
針	シン　はり	針路，運針，秒針針，針金	　
深	シン　ふかい　ふかまる　ふかめる	深山，深夜，水深深い，深入り，深み深まる深める	　
紳	シン	紳士	　
進	シン　すすむ　すすめる	進級，進言，前進進む，進み進める	⇔勧める，薦める
森	シン　もり	森林，森閑，森厳森	　
診	シン　みる	診察，診療，往診診る	⇔見る
寝（寢）	シン　ねる　ねかす	寝室，寝具，就寝寝る，寝入る，昼寝寝かす	　
慎（愼）	シン　つつしむ	慎重，謹慎慎む，慎み	⇔謹む
新	シン　あたらしい　あらた　にい	新旧，新聞，革新新しい，新しさ，新しがる新ただ新妻，新盆	　
審	シン	審判，審議，不審	　
震	シン　ふるう　ふるえる	震動，震災，地震震う，身震い震える，震え	⇔奮う，振るう
薪	シン　たきぎ	薪炭，薪水薪	　
親	シン　おや　したしい　したしむ	親族，親友，肉親親，親子，父親親しい，親しさ親しむ	　
人	ジン　ニン　ひと	人道，人員，成人人間，人情，人形人，人手，旅人	玄人（くろうと）素人（しろうと）仲人（なこうど）若人（わこうど）大人（おとな）一人（ひとり）二人（ふたり）
刃	ジン　は	白刃，凶刃，自刃刃，刃物，両刃	　
仁	ジン　　ニ	仁義，仁術仁王	　
尽（盡）	ジン　つくす　つきる　つかす	尽力，無尽蔵尽くす，心尽くし尽きる愛想を尽かす	　
迅	ジン	迅速，疾風迅雷	　
甚	ジン　はなはだ　はなはだしい	甚大，激甚，幸甚甚だ甚だしい	　
陣	ジン	陣頭，陣痛，円陣	　
尋	ジン　たずねる	尋問，尋常，千尋尋ねる，尋ね人	⇔訪ねる
腎	ジン	腎臓，肝腎	「肝腎」は，「肝心」とも書く。
須	ス	必須	　
図（圖）	ズ　ト　はかる	図画，図表，地図図書，意図，壮図図る	⇔計る，測る，量る，謀る
水	スイ　みず	水分，水陸，海水水，水色，水浴び	清水（しみず）
吹	スイ　ふく	吹奏，吹鳴，鼓吹吹く	息吹（いぶき）吹雪（ふぶき）⇔噴く
垂	スイ　たれる　たらす	垂直，懸垂，胃下垂垂れる，雨垂れ垂らす	　
炊	スイ　たく	炊事，自炊，雑炊炊く，飯炊き	　
帥	スイ	統帥，元帥	　
粋（粹）	スイ　いき	粋人，純粋，精粋粋	　
衰	スイ　おとろえる	衰弱，盛衰，老衰衰える，衰え	　
推	スイ　おす	推進，推薦推す	⇔押す
酔（醉）	スイ　よう	酔漢，麻酔，心酔酔う，酔い，二日酔い	　
遂	スイ　とげる	遂行，未遂，完遂遂げる	　
睡	スイ	睡眠，熟睡，午睡	　
穂（穗）	スイ　ほ	穂状，出穂期穂，稲穂	　
随（隨）	ズイ	随行，随意，追随	　
髄（髓）	ズイ	骨髄，脳髄，真髄	　
枢（樞）	スウ	枢軸，枢要，中枢	　
崇	スウ	崇拝，崇高	　
数（數）	スウ　　ス　かず　かぞえる	数字，数量，年数人数数数える，数え年	数珠（じゅず）数寄屋・数奇屋（すきや）「人数」は，「ニンズウ」とも。
据	すえる　すわる	据える，据え置く据わる，据わり	⇔座る
杉	すぎ	杉，杉並木	　
裾	すそ	裾，裾野	　
寸	スン	寸法，寸暇，一寸先	　
瀬（瀨）	せ	瀬，浅瀬，立つ瀬	　
是	ゼ	是非，是認，国是	　
井	セイ　　ショウ　い	油井，市井天井井戸	　
世	セイ　セ　よ	世紀，時世，処世世界，世間，出世世，世の中	　
正	セイ　ショウ　ただしい　ただす　まさ	正義，正誤，訂正正直，正面，正月正しい，正しさ正す正に，正夢	　
生	セイ　ショウ　いきる　いかす　いける　うまれる　うむ　おう　はえる　はやす　き　なま	生活，発生，先生生滅，一生，誕生生きる，長生き生かす生ける，生け捕り生まれる，生まれ生む生い立ち，生い茂る生える，芽生える生やす生糸，生地，生一本生の野菜，生水，生々しい	芝生（しばふ）弥生（やよい）⇔産まれる⇔産む 
成	セイ　　ジョウ　なる　なす	成功，完成，賛成成就，成仏成る，成り立つ成す，成し遂げる	　
西	セイ　サイ　にし	西暦，西部，北西西国，東西西，西日	　
声（聲）	セイ　　ショウ　こえ　　こわ	声楽，声援，名声大音声声，呼び声，歌声声色	　
制	セイ	制度，制限，統制	　
姓	セイ　ショウ	姓名，改姓，同姓百姓	　
征	セイ	征服，遠征，出征	　
性	セイ　ショウ	性質，理性，男性性分，相性，根性	　
青	セイ　　ショウ　あお　あおい	青天，青銅，青年緑青，紺青，群青青，青ざめる青い，青さ	真っ青（まっさお） 
斉（齊）	セイ	斉唱，一斉	　
政	セイ　　ショウ　まつりごと	政治，行政，家政摂政政	　
星	セイ　　ショウ　ほし	星座，流星，衛星明星星，黒星	　
牲	セイ	犠牲	　
省	セイ　ショウ　かえりみる　はぶく	反省，内省，帰省省略，各省省みる省く	⇔顧みる 
凄	セイ	凄惨，凄絶	　
逝	セイ　ゆく　いく	逝去，急逝，長逝逝く逝く	⇔行く⇔行く
清	セイ　　ショウ　きよい　きよまる　きよめる	清潔，清算，粛清六根清浄清い，清らかだ清まる清める	清水（しみず）
盛	セイ　　ジョウ　もる　さかる　さかん	盛大，隆盛，全盛繁盛盛る，盛り上がる燃え盛る，盛り，花盛り盛んだ，盛んに	　
婿	セイ　むこ	女婿婿，花婿	　
晴	セイ　はれる　はらす	晴天，晴雨，快晴晴れる，晴れ，晴れやかだ晴らす，気晴らし	　
勢	セイ　いきおい	勢力，優勢，情勢勢い	　
聖	セイ	聖書，聖人，神聖	　
誠	セイ　まこと	誠実，誠意，至誠誠，誠に	　
精	セイ　　ショウ	精米，精密，精力精進，不精	　
製	セイ	製造，製鉄，鉄製	　
誓	セイ　ちかう	誓約，誓詞，宣誓誓う，誓い	　
静（靜）	セイ　　ジョウ　しず　しずか　しずまる　しずめる	静止，静穏，安静静脈静々と，静けさ静かだ静まる静める	⇔鎮まる⇔鎮める，沈める
請	セイ　　シン　こう　うける	請求，請願，申請普請請う請ける，請負，下請け	⇔乞う⇔受ける
整	セイ　ととのえる　ととのう	整理，整列，調整整える整う	⇔調える⇔調う
醒	セイ	覚醒	　
税	ゼイ	税金，免税，関税	　
夕	セキ　ゆう	今夕，一朝一夕夕方，夕日，夕べ	七夕（たなばた）
斥	セキ	斥候，排斥	　
石	セキ　　シャク　　コク　いし	石材，岩石，宝石磁石石高，千石船石，小石	　
赤	セキ　　シャク　あか　あかい　あからむ　あからめる	赤道，赤貧，発赤赤銅赤，赤字，赤ん坊赤い赤らむ赤らめる	真っ赤（まっか） 
昔	セキ　　シャク　むかし	昔日，昔年，昔時今昔昔，昔話	　
析	セキ	析出，分析，解析	　
席	セキ	席上，座席，出席	寄席（よせ）
脊	セキ	脊髄，脊柱	　
隻	セキ	隻手，数隻	　
惜	セキ　おしい　おしむ	惜敗，痛惜，愛惜惜しい惜しむ，負け惜しみ	　
戚	セキ	親戚	　
責	セキ　せめる	責務，責任，職責責める，責め	　
跡	セキ　あと	追跡，旧跡，遺跡跡，足跡，屋敷跡	⇔後，痕
積	セキ　つむ　つもる	積雪，蓄積，面積積む，下積み積もる，見積書	　
績	セキ	紡績，成績，業績	　
籍	セキ	書籍，戸籍，本籍	　
切	セツ　　サイ　きる　きれる	切断，親切，切に一切切る切れる	⇔斬る 
折	セツ　おる　おり　おれる	折衷，折衝，屈折折る，折り紙，折り箱折，……する折折れる，名折れ	　
拙	セツ　つたない	拙劣，拙速，巧拙拙い	　
窃（竊）	セツ	窃盗，窃取	　
接	セツ　つぐ	接触，接待，直接接ぐ，接ぎ木，骨接ぎ	⇔継ぐ
設	セツ　もうける	設立，設備，建設設ける	　
雪	セツ　ゆき	雪辱，降雪，積雪雪，雪解け，初雪	雪崩（なだれ）吹雪（ふぶき）
摂（攝）	セツ	摂取，摂生	　
節（節）	セツ　　セチ　ふし	節約，季節，関節お節料理節，節穴	　
説	セツ　　ゼイ　とく	説明，小説，演説遊説説く	　
舌	ゼツ　した	舌端，弁舌，筆舌舌，猫舌，二枚舌	　
絶	ゼツ　たえる　たやす　たつ	絶妙，絶食，断絶絶える絶やす絶つ	⇔裁つ，断つ
千	セン　ち	千円，千人力，千差万別千草，千々に	　
川	セン　かわ 	川柳，河川川，川岸，小川 	川原（かわら）⇔河
仙	セン	仙骨，仙人，酒仙	　
占	セン　しめる　うらなう	占拠，占星術，独占占める，買い占め占う，占い	　
先	セン　さき	先方，先生，率先先，先立つ	　
宣	セン	宣言，宣誓，宣伝	　
専（專）	セン　もっぱら	専門，専属，専用専ら	　
泉	セン　いずみ	泉水，源泉，温泉泉	　
浅（淺）	セン　あさい	浅薄，浅学，深浅浅い，浅瀬，遠浅	　
洗	セン　あらう	洗面，洗練，洗剤洗う	　
染	セン　そめる　そまる　しみる　しみ	染色，染料，汚染染める，染め物染まる染みる，油染みる染み，染み抜き	　
扇	セン　おうぎ	扇子，扇風機，扇状地扇，舞扇	　
栓	セン	栓，給水栓，消火栓	　
旋	セン	旋回，旋律，周旋	　
船	セン　ふね　　ふな	船舶，乗船，汽船船，大船，親船船旅，船賃	⇔舟
戦（戰）	セン　いくさ　たたかう	戦争，苦戦，論戦戦，勝ち戦戦う，戦い	⇔闘う
煎	セン　いる	煎茶煎る，煎り豆	＊［（付）第２の３参照］
羨	セン　うらやむ　うらやましい	羨望羨む羨ましい	　
腺	セン	前立腺，涙腺	　
詮	セン	詮索，所詮	＊［（付）第２の３参照］
践（踐）	セン	実践	　
箋	セン	処方箋，便箋	＊［（付）第２の３参照］
銭（錢）	セン　ぜに	銭湯，金銭銭，銭入れ，小銭	　
潜（潛）	セン　ひそむ　もぐる	潜水，潜在的，沈潜潜む潜る，潜り込む	　
線	セン	線路，点線，光線	　
遷	セン	遷延，遷都，変遷	　
選	セン　えらぶ	選択，選挙，当選選ぶ	　
薦	セン　すすめる	推薦，自薦薦める	⇔進める，勧める
繊（纖）	セン	繊細，繊維，化繊	　
鮮	セン　あざやか	鮮魚，鮮明，新鮮鮮やかだ	　
全	ゼン　まったく　すべて	全部，全国，完全全く，全うする全て	　
前	ゼン　まえ	前後，以前，空前前，前向き，名前	　
善	ゼン　よい	善悪，善処，慈善善い	⇔良い
然	ゼン　ネン	当然，自然，必然天然	　
禅（禪）	ゼン	禅宗，禅寺，座禅	　
漸	ゼン	漸次，漸進的，東漸	　
膳	ゼン	膳，配膳	　
繕	ゼン　つくろう	修繕，営繕繕う，繕い	　
狙	ソ　ねらう	狙撃狙う，狙い	　
阻	ソ　はばむ	阻止，阻害，険阻阻む	　
祖（祖）	ソ	祖父，祖述，元祖	　
租	ソ	租税，公租公課	　
素	ソ　ス	素材，元素，平素素顔，素手，素性	素人（しろうと）
措	ソ	措置，措辞，挙措	　
粗	ソ　あらい	粗密，粗野，精粗粗い	⇔荒い
組	ソ　くむ　くみ	組織，組成，改組組む，組み込む組，組長，赤組	　
疎	ソ　うとい　うとむ	疎密，疎外，親疎疎い疎む，疎ましい	　
訴	ソ　うったえる	訴訟，告訴，哀訴訴える，訴え	　
塑	ソ	塑像，彫塑，可塑性	　
遡［遡］	ソ　さかのぼる	遡及，遡上遡る	［遡］＝許容字体，＊［（付）第２の１参照］
礎	ソ　いしずえ	礎石，基礎，定礎礎	　
双（雙）	ソウ　ふた	双肩，双方，無双双子，双葉	⇔二
壮（壯）	ソウ	壮大，壮健，強壮	　
早	ソウ　　サッ　はやい　はやまる　はやめる	早朝，早晩，早々に早速，早急早い，早口，素早い早まる早める	早乙女（さおとめ）早苗（さなえ）⇔速い⇔速まる⇔速める
争（爭）	ソウ　あらそう	争議，競争，紛争争う，争い	　
走	ソウ　はしる	走行，競走，滑走走る，先走る	師走（しわす）
奏	ソウ　かなでる	奏楽，演奏，合奏奏でる	　
相	ソウ　ショウ　あい	相当，相談，真相首相，宰相相手，相宿	相撲（すもう）
荘（莊）	ソウ	荘厳，荘重，別荘	　
草	ソウ　くさ	草案，雑草，牧草草，草花，語り草	草履（ぞうり）
送	ソウ　おくる	送別，放送，運送送る，見送り	⇔贈る
倉	ソウ　くら	倉庫，穀倉倉，倉敷料	⇔蔵
捜（搜）	ソウ　さがす	捜索，捜査捜す	⇔探す
挿（插）	ソウ　さす	挿入，挿話挿す，挿絵，挿し木	⇔差す，刺す，指す
桑	ソウ　くわ	桑園桑，桑畑	　
巣（巢）	ソウ　す	営巣，卵巣，病巣巣，巣箱，巣立つ	　
掃	ソウ　はく	掃除，清掃，一掃掃く	　
曹	ソウ	法曹，法曹界，陸曹	　
曽（曾）	ソウ　　ゾ	曽祖父，曽孫未曽有	　
爽	ソウ　さわやか	爽快爽やかだ	　
窓	ソウ　まど	車窓，同窓，深窓窓，窓口，出窓	　
創	ソウ　つくる	創造，独創，刀創創る	⇔作る，造る
